Community_ID,Community_Name,State,Country,Population,Population_Density,Average_Monthly_Waste_Generated_Tons,Waste_Collection_Frequency_Per_Week,Illegal_Dumping_Reports,Blocked_Drainage_Incidents,Flood_Incidents_Last_Year,Distance_To_Waste_Disposal_Site_KM,Environmental_Complaints,Sanitation_Awareness_Score,Waste_Recycling_Rate,Economic_Status_Index,Infrastructure_Quality_Score,Year_Data_Collected,Risk_Level,Hotspot_Status,Risk_Score _Original,EcoTrack_Risk_Category_Original,Risk_Score_Corrected,EcoTrack_Risk_Category_Corrected,Date,Early_Warning_Flag,Collection_Gap_Flag,Disposal_Acess_Flag
135,West Gate 96,Imo,Nigeria,58908,275,21.84,1,17,7,3,60.2,40,16,44,5,50,2024,High,Yes,14.45,High Risk,0.598378667,Medium,4/11/2024,Stable,Underserved,Structural Hotspot
136,New Area 6,Enugu,Nigeria,20785,109,6.97,1,19,8,3,16,24,58,28,4,55,2023,High,Yes,13,Medium Risk,0.609435459,Medium,8/4/2023,Stable,Adequate,Standard
137,New Gate 151,Enugu,Nigeria,34916,180,10.56,1,16,6,2,62,30,33,40,6,55,2023,High,Yes,12.1,Medium Risk,0.502868213,Low,17/02/2023,Stable,Adequate,Structural Hotspot
138,New Estate 73,Rivers,Nigeria,25509,112,9.83,1,13,6,3,75.6,28,46,28,7,65,2024,High,Yes,11,Medium Risk,0.483202881,Low,10/11/2024,Stable,Adequate,Standard
139,West District 4,Enugu,Nigeria,49987,292,14.71,1,18,8,4,47.5,46,15,17,6,55,2024,High,Yes,16.2,High Risk,0.683362804,High,8/8/2024,Stable,Adequate,Standard
140,Old Quarter 140,Enugu,Nigeria,25612,183,8.34,1,13,7,3,19.6,37,28,9,4,55,2024,High,Yes,12.6,Medium Risk,0.529614364,Medium,18/01/2024,Stable,Adequate,Standard
141,Old Gate 118,Borno,Nigeria,39023,76,12.48,1,19,9,6,39.3,55,10,21,1,35,2022,High,Yes,18.65,High Risk,0.807491679,Critical,26/03/2022,Stable,Adequate,Standard
142,New Estate 122,FCT,Nigeria,87094,643,35.47,1,9,4,1,7.9,19,62,45,3,85,2022,Medium,Yes,7.25,Medium Risk,0.29069456,Low,23/01/2022,Stable,Underserved,Standard
143,East Estate 193,Imo,Nigeria,36982,105,11.65,1,15,6,2,63.7,30,33,37,2,50,2024,High,Yes,11.75,Medium Risk,0.487650822,Low,9/2/2024,Stable,Adequate,Standard
144,East District 117,Oyo,Nigeria,46534,66,14.37,1,14,7,4,22.4,39,41,37,5,60,2024,High,Yes,13.5,Medium Risk,0.581344914,Medium,28/03/2024,Stable,Adequate,Standard
145,North Village 128,Bauchi,Nigeria,67408,214,25.98,1,18,10,5,44.3,46,29,14,4,40,2022,High,Yes,16.95,High Risk,0.76006735,Critical,12/1/2022,Stable,Underserved,Standard
146,Central Village 158,Oyo,Nigeria,54050,59,14.86,1,14,7,2,37.8,31,25,21,2,60,2024,High,Yes,11.8,Medium Risk,0.497792282,Low,26/06/2024,Stable,Adequate,Standard
147,Old Estate 145,Bauchi,Nigeria,13260,147,5,1,16,9,8,37.8,59,40,6,5,40,2024,High,Yes,18.7,High Risk,0.834865821,Critical,2/1/2024,Stable,Adequate,Standard
148,West Estate 140,Kaduna,Nigeria,19475,512,8.26,1,20,8,6,27,59,10,21,3,45,2024,High,Yes,19.35,High Risk,0.810508113,Critical,24/04/2024,Stable,Adequate,Standard
149,North Quarter 23,Kano,Nigeria,49384,333,16.81,1,18,6,5,32.5,42,38,25,1,50,2023,High,Yes,15.35,High Risk,0.658631943,High,25/10/2023,Stable,Underserved,Standard
150,New Quarter 140,Kaduna,Nigeria,22577,393,7.22,1,17,7,5,72.7,49,22,14,2,45,2024,High,Yes,16.3,High Risk,0.684562877,High,23/05/2024,Stable,Adequate,Structural Hotspot
151,New Village 197,Bauchi,Nigeria,49129,255,17.55,2,12,7,4,73,46,19,3,5,40,2022,High,Yes,13.85,Medium Risk,0.569331184,Medium,6/10/2022,Stable,Adequate,Standard
152,North Estate 166,FCT,Nigeria,31642,295,11.34,3,8,5,2,14.3,23,65,50,1,85,2023,Low,No,8,Medium Risk,0.339980757,Low,11/3/2023,Stable,Adequate,Standard
153,West Gate 93,Plateau,Nigeria,18635,305,5.9,1,18,8,4,19.5,35,52,14,5,48,2023,High,Yes,14.55,High Risk,0.654415436,High,16/11/2023,Stable,Adequate,Standard
154,New Area 84,Oyo,Nigeria,74247,292,23,2,9,4,1,74.9,25,44,42,3,60,2022,Medium,No,8.15,Medium Risk,0.306484034,Low,28/10/2022,Stable,Adequate,Standard
155,Old District 119,Rivers,Nigeria,33425,289,13.08,1,13,5,2,29.1,28,51,32,4,65,2024,High,Yes,10.5,Medium Risk,0.429225608,Low,13/12/2024,Stable,Adequate,Standard
156,New Park 28,Borno,Nigeria,42542,217,11.92,1,18,7,4,25.9,42,16,8,1,35,2023,High,Yes,15.35,High Risk,0.650109216,High,10/11/2023,Stable,Adequate,Standard
157,New Gate 176,Lagos,Nigeria,91694,751,35.2,3,5,3,1,16,21,47,20,7,80,2023,Low,No,5.9,Low Risk,0.21236088,Low,13/02/2023,Stable,Adequate,Standard
158,Old Quarter 187,Oyo,Nigeria,61488,266,22.36,1,14,7,3,63.2,34,14,6,3,60,2024,High,Yes,12.5,Medium Risk,0.536937019,Medium,17/05/2024,Stable,Underserved,Standard
159,West Market 72,Plateau,Nigeria,58923,187,21.62,1,16,6,4,23.6,43,25,18,5,48,2023,High,No,14.55,High Risk,0.599578739,Medium,16/03/2023,Stable,Underserved,Standard
160,New Area 58,Plateau,Nigeria,25579,284,9.67,1,21,11,7,55.5,53,36,20,1,48,2023,High,Yes,19.8,High Risk,0.909367849,Critical,9/12/2023,Stable,Adequate,Standard
161,Old Area 116,Akwa Ibom,Nigeria,26672,126,7.37,1,11,5,2,42.9,36,23,16,4,52,2022,High,Yes,11,Medium Risk,0.419843457,Low,5/2/2022,Stable,Adequate,Standard
162,West Gate 160,Plateau,Nigeria,73610,165,24.81,1,15,8,4,65.3,47,10,25,1,48,2022,High,Yes,15.3,High Risk,0.640342209,High,24/09/2022,Stable,Underserved,Standard
163,Old Estate 38,Imo,Nigeria,45058,275,14.3,1,19,7,3,17,36,31,18,3,50,2024,High,Yes,14.55,High Risk,0.618287133,Medium,12/10/2024,Stable,Adequate,Standard
164,New Village 137,Kaduna,Nigeria,38948,133,8.41,1,18,7,5,24.2,42,39,21,3,45,2024,High,Yes,15.6,High Risk,0.681359216,High,13/09/2024,Stable,Adequate,Standard
165,North Quarter 140,Akwa Ibom,Nigeria,21054,216,5.19,1,18,8,5,73.8,40,54,29,4,52,2023,High,Yes,15.55,High Risk,0.698823331,High,5/3/2023,Stable,Adequate,Structural Hotspot
166,West Area 121,Kaduna,Nigeria,20835,128,6.2,1,17,8,5,26.3,51,11,21,3,45,2022,High,Yes,16.85,High Risk,0.712553308,Critical,1/7/2022,Stable,Adequate,Standard
167,Old Gate 59,Imo,Nigeria,55648,194,18.44,1,20,9,4,36.2,37,42,21,1,50,2022,High,No,15.8,High Risk,0.712840649,Critical,17/12/2022,Stable,Underserved,Standard
168,West Market 170,Oyo,Nigeria,106098,190,31.2,1,16,5,2,18.3,28,37,5,3,60,2024,High,Yes,11.55,Medium Risk,0.474877782,Low,24/04/2024,Stable,Underserved,Standard
169,West Estate 49,FCT,Nigeria,54110,558,14.47,2,9,3,0,8.5,16,55,39,4,85,2023,Medium,Yes,6.3,Low Risk,0.22882255,Low,22/08/2023,Stable,Adequate,Standard
170,Old Quarter 163,Kaduna,Nigeria,55279,180,15.67,1,15,9,5,19.4,51,12,25,3,45,2024,High,Yes,16.4,High Risk,0.704845798,High,11/1/2024,Stable,Underserved,Standard
171,Old Area 15,Imo,Nigeria,43794,232,12.69,1,19,7,3,40.7,34,33,15,1,50,2024,High,Yes,14.25,High Risk,0.613023975,Medium,3/3/2024,Stable,Adequate,Standard
172,Old Quarter 4,Bauchi,Nigeria,31171,298,9.25,1,16,7,4,35.5,42,10,19,4,40,2022,High,No,14.65,High Risk,0.619674433,Medium,14/07/2022,Stable,Adequate,Standard
173,New Market 112,Kaduna,Nigeria,11173,185,5,1,17,8,5,60.3,41,39,9,4,45,2024,High,Yes,15.35,High Risk,0.686237518,High,23/02/2024,Stable,Adequate,Structural Hotspot
174,Old Park 127,Kaduna,Nigeria,30063,436,11.34,1,14,7,2,42.1,32,22,35,2,45,2024,High,Yes,11.95,Medium Risk,0.500423861,Low,9/10/2024,Stable,Adequate,Standard
175,West Market 130,Plateau,Nigeria,27052,161,8.29,1,14,6,3,15.6,43,10,27,1,48,2024,High,Yes,13.6,Medium Risk,0.537893957,Medium,10/6/2024,Stable,Adequate,Standard
176,New Area 14,Imo,Nigeria,24131,103,8.46,1,12,7,4,67.4,43,19,18,1,50,2023,High,No,13.4,Medium Risk,0.561436447,Medium,24/05/2023,Stable,Adequate,Standard
177,West Village 34,Imo,Nigeria,53876,225,21.31,1,15,6,4,50.6,40,26,35,1,50,2022,High,Yes,13.75,Medium Risk,0.576466611,Medium,5/11/2022,Stable,Underserved,Standard
178,West District 44,Bauchi,Nigeria,31925,245,9.6,1,16,8,3,68.7,34,38,2,2,40,2024,High,Yes,13.45,Medium Risk,0.590099074,Medium,24/03/2024,At Risk,Adequate,Structural Hotspot
179,New District 4,Oyo,Nigeria,35040,140,10.06,1,19,8,2,55.2,37,10,49,3,60,2023,High,Yes,14.7,High Risk,0.612395985,Medium,8/12/2023,Stable,Adequate,Standard
180,Old Gate 96,Kaduna,Nigeria,36655,107,10.09,1,16,8,5,36.1,46,40,37,4,45,2024,High,Yes,15.75,High Risk,0.684178022,High,15/03/2024,Stable,Adequate,Standard
181,South District 15,Imo,Nigeria,21512,277,7.28,1,15,5,3,45.2,31,38,42,1,50,2023,High,Yes,11.9,Medium Risk,0.498805128,Low,5/12/2023,Stable,Adequate,Standard
182,Old District 123,Borno,Nigeria,39492,271,8.65,1,18,8,5,79.4,46,34,24,1,35,2024,High,Yes,16.45,High Risk,0.714612804,Critical,9/7/2024,At Risk,Adequate,Structural Hotspot
183,New Village 17,Bauchi,Nigeria,32254,247,10.3,1,18,8,4,47.4,41,35,12,1,40,2023,High,No,15.45,High Risk,0.67020491,High,13/12/2023,Stable,Adequate,Standard
184,New Park 54,Borno,Nigeria,55937,185,16.39,1,19,9,4,39.7,50,10,10,2,35,2023,High,Yes,17.4,High Risk,0.731833784,Critical,27/07/2023,Stable,Underserved,Standard
185,North Village 19,Akwa Ibom,Nigeria,24325,165,5.48,1,15,5,3,60.2,33,47,11,2,52,2024,High,Yes,12.2,Medium Risk,0.504068286,Low,28/11/2024,Stable,Adequate,Standard
186,North Village 12,Enugu,Nigeria,42595,266,15.41,1,11,5,2,50.8,37,10,9,1,55,2024,High,Yes,11.15,Medium Risk,0.422475036,Low,17/07/2024,Stable,Underserved,Standard
187,South Market 53,Kaduna,Nigeria,49425,90,19.39,1,19,7,6,38.7,48,35,43,4,45,2024,High,Yes,17.1,High Risk,0.743616081,Critical,1/7/2024,Stable,Underserved,Standard
188,East Village 158,Akwa Ibom,Nigeria,22897,259,7.58,1,13,5,4,52.7,35,47,11,3,52,2022,High,Yes,12.05,Medium Risk,0.510146661,Medium,11/11/2022,Stable,Adequate,Standard
189,Old Estate 4,Rivers,Nigeria,22814,160,8.79,1,13,6,3,24.8,38,40,19,1,65,2023,High,Yes,12.5,Medium Risk,0.509518671,Medium,26/07/2023,Stable,Adequate,Standard
190,North Park 4,Lagos,Nigeria,108739,351,36.7,2,8,3,0,18.2,15,61,28,5,80,2024,Medium,No,5.8,Low Risk,0.21097358,Low,28/01/2024,Stable,Adequate,Standard
191,North Market 94,FCT,Nigeria,73706,977,31.6,1,9,4,2,6,30,38,3,7,85,2024,High,Yes,9.15,Medium Risk,0.350891928,Low,14/08/2024,Stable,Underserved,Standard
192,Old Estate 93,Bauchi,Nigeria,38293,224,9.4,1,18,8,4,44.9,41,29,10,3,40,2023,High,Yes,15.45,High Risk,0.67020491,High,27/11/2023,Stable,Adequate,Standard
193,East Park 131,Akwa Ibom,Nigeria,65478,206,15.57,1,20,9,5,52.2,54,12,27,1,52,2024,High,Yes,18.6,High Risk,0.788827491,Critical,6/11/2024,Stable,Underserved,Standard
194,North Market 152,Kano,Nigeria,38407,249,9.52,1,17,7,4,16.7,42,45,13,2,50,2024,High,Yes,15,High Risk,0.634891824,High,12/10/2024,Stable,Adequate,Standard
195,East Quarter 68,Lagos,Nigeria,50736,555,15.29,2,5,2,1,8.6,22,49,6,7,80,2023,Medium,No,5.8,Low Risk,0.192265186,Low,6/2/2023,Stable,Adequate,Standard
196,South District 26,Plateau,Nigeria,68980,195,22.66,1,13,7,5,50.6,43,41,17,2,48,2023,High,Yes,14,Medium Risk,0.607903838,Medium,6/3/2023,Stable,Underserved,Standard
197,West Village 188,Enugu,Nigeria,34657,459,11.05,1,14,7,3,48.9,28,53,46,5,55,2024,High,Yes,11.6,Medium Risk,0.521147545,Medium,28/06/2024,Stable,Adequate,Standard
198,Old Estate 176,Akwa Ibom,Nigeria,73645,131,18.47,1,15,8,6,25.5,36,69,4,4,52,2024,High,Yes,14.15,High Risk,0.673894841,High,2/10/2024,Stable,Underserved,Standard
199,New District 99,Rivers,Nigeria,21591,354,7.24,1,10,4,1,35.7,22,47,23,3,65,2023,High,Yes,8.05,Medium Risk,0.313806688,Low,10/2/2023,Stable,Adequate,Standard
200,Old Quarter 104,Lagos,Nigeria,55338,751,23.38,2,9,5,2,19.9,30,43,35,5,80,2024,Medium,Yes,9.4,Medium Risk,0.373619201,Low,20/10/2024,Stable,Adequate,Standard
201,West Park 146,Kaduna,Nigeria,20800,64,6.89,1,18,9,3,71.1,28,49,5,1,45,2024,High,Yes,13.5,Medium Risk,0.627471656,Medium,16/10/2024,Stable,Adequate,Structural Hotspot
202,New District 179,Oyo,Nigeria,19947,146,5.99,1,14,4,1,74.3,23,36,29,4,60,2024,High,Yes,9.6,Medium Risk,0.377307832,Low,2/7/2024,Stable,Adequate,Standard
203,Central Area 105,FCT,Nigeria,81657,817,27.53,1,8,4,0,15.7,17,51,43,4,85,2023,Medium,Yes,6.35,Low Risk,0.238964011,Low,8/10/2023,Stable,Underserved,Standard
204,Old Market 152,Rivers,Nigeria,18134,335,5.5,2,14,6,3,32.4,40,33,35,4,65,2024,High,Yes,13.15,Medium Risk,0.52999922,Medium,17/10/2024,Stable,Adequate,Standard
205,Central Park 56,Oyo,Nigeria,38728,224,12.35,2,13,5,3,58.1,34,41,31,3,60,2024,High,Yes,11.65,Medium Risk,0.476265082,Low,25/08/2024,Stable,Adequate,Standard
206,North Area 3,Enugu,Nigeria,42452,176,13.23,1,19,7,3,69.4,42,12,23,7,55,2024,High,Yes,15.45,High Risk,0.634076607,High,20/01/2024,Stable,Adequate,Structural Hotspot
207,West Area 116,Rivers,Nigeria,33431,264,9.38,1,12,4,2,71.1,32,30,13,6,65,2022,High,No,10.5,Medium Risk,0.40180726,Low,17/10/2022,Stable,Adequate,Standard
208,North District 16,Lagos,Nigeria,68973,315,21.66,2,8,3,1,14.9,29,10,33,7,80,2023,Medium,No,8.15,Medium Risk,0.279065685,Low,20/08/2023,Stable,Adequate,Standard
209,New Estate 71,Oyo,Nigeria,22083,475,7.66,2,13,5,2,28.3,27,33,19,5,60,2022,Medium,Yes,10.35,Medium Risk,0.42659403,Low,15/07/2022,Stable,Adequate,Standard
210,East Gate 171,Lagos,Nigeria,79062,345,28.35,1,11,5,1,27.9,21,44,21,7,80,2024,High,Yes,8.5,Medium Risk,0.349119773,Low,2/8/2024,Stable,Underserved,Standard
211,Old Estate 179,Kaduna,Nigeria,39675,201,12.37,1,16,8,3,65.9,34,34,28,2,45,2024,High,No,13.45,Medium Risk,0.590099074,Medium,16/08/2024,Stable,Adequate,Structural Hotspot
212,South Area 146,Akwa Ibom,Nigeria,49194,315,14.29,1,14,5,3,42.1,31,45,20,5,52,2023,High,Yes,11.55,Medium Risk,0.483587737,Low,15/06/2023,Stable,Adequate,Standard
213,West Quarter 79,Kaduna,Nigeria,55587,236,14.74,1,17,6,3,43.6,32,33,16,2,45,2024,High,No,13,Medium Risk,0.554598762,Medium,14/10/2024,Stable,Adequate,Standard
214,New Estate 135,Oyo,Nigeria,36030,304,7.8,1,16,8,4,63.1,44,21,13,4,60,2023,High,Yes,15.2,High Risk,0.647664864,High,15/02/2023,Stable,Adequate,Structural Hotspot
215,South Gate 1,Borno,Nigeria,52771,235,19.37,1,17,11,7,55.9,58,19,39,5,35,2024,High,Yes,19.15,High Risk,0.861656178,Critical,28/04/2024,At Risk,Underserved,Standard
216,East Estate 186,Rivers,Nigeria,39899,106,11.47,1,16,6,2,34.5,26,56,14,7,65,2024,High,Yes,11.5,Medium Risk,0.492341897,Low,25/04/2024,Stable,Adequate,Standard
217,Old Area 137,Oyo,Nigeria,42336,58,11.44,1,15,7,3,28.1,32,32,26,1,60,2024,High,Yes,12.55,Medium Risk,0.546891252,Medium,1/10/2024,Stable,Adequate,Standard
218,West Village 108,Rivers,Nigeria,40716,264,11.26,2,13,5,2,74.6,30,22,17,6,65,2024,Medium,No,10.8,Medium Risk,0.434488766,Low,28/02/2024,Stable,Adequate,Standard
219,West Market 46,Plateau,Nigeria,35848,180,9.71,1,14,5,4,43,34,45,25,4,48,2024,High,Yes,12.25,Medium Risk,0.522732473,Medium,24/02/2024,Stable,Adequate,Standard
220,South District 154,Rivers,Nigeria,44344,226,17.09,1,12,6,2,63.7,23,46,28,6,65,2023,High,Yes,9.65,Medium Risk,0.423577595,Low,23/10/2023,Stable,Underserved,Standard
221,South Park 12,Bauchi,Nigeria,23748,129,8.38,1,19,9,7,42.9,59,10,3,2,40,2024,High,No,19.5,High Risk,0.849267995,Critical,5/9/2024,Stable,Adequate,Standard
222,Central District 9,Akwa Ibom,Nigeria,15038,293,5.78,1,15,4,2,71.5,27,44,19,2,52,2023,High,Yes,10.8,Medium Risk,0.434301539,Low,18/09/2023,Stable,Adequate,Standard
223,New Estate 85,Kano,Nigeria,42876,259,9.76,1,20,9,5,49.3,49,20,23,1,50,2024,High,Yes,17.85,High Risk,0.775669596,Critical,10/7/2024,Stable,Adequate,Standard
224,East Area 182,Enugu,Nigeria,39398,297,10.93,1,14,6,3,33.2,43,10,14,2,55,2024,High,Yes,13.6,Medium Risk,0.537893957,Medium,18/04/2024,Stable,Adequate,Standard
225,West Market 39,Oyo,Nigeria,51946,276,11.31,1,14,5,3,15.8,38,32,28,2,60,2024,High,Yes,12.6,Medium Risk,0.502008789,Low,27/12/2024,Stable,Adequate,Standard
226,Old Park 161,Akwa Ibom,Nigeria,35452,269,12.44,1,15,7,4,66.5,43,10,38,2,52,2024,High,No,14.45,High Risk,0.607088621,Medium,27/04/2024,Stable,Adequate,Standard
227,South District 136,FCT,Nigeria,58521,417,15.14,1,9,3,3,12.1,24,63,59,9,85,2023,High,Yes,8.25,Medium Risk,0.343625182,Low,23/07/2023,Stable,Underserved,Standard
228,West Area 151,Oyo,Nigeria,34053,303,14.2,2,11,4,2,16,30,34,15,4,60,2024,Medium,No,9.85,Medium Risk,0.381326711,Low,24/08/2024,Stable,Adequate,Standard
229,South Park 85,Akwa Ibom,Nigeria,52210,259,17.62,1,17,7,6,41.2,54,26,3,2,52,2023,High,Yes,17.3,High Risk,0.728970772,Critical,4/9/2023,Stable,Underserved,Standard
230,South District 103,Lagos,Nigeria,39546,446,12.21,2,11,5,2,27.1,23,49,29,7,80,2024,Medium,Yes,9.05,Medium Risk,0.385632931,Low,23/05/2024,Stable,Adequate,Standard
231,Central Market 63,Imo,Nigeria,68376,178,17.02,1,14,5,2,77,32,20,0,4,50,2024,High,No,11.45,Medium Risk,0.454969316,Low,14/01/2024,Stable,Underserved,Standard
232,New Gate 190,Plateau,Nigeria,18967,131,7.16,2,13,6,3,45.8,36,21,11,3,48,2024,High,No,12.2,Medium Risk,0.504255513,Low,18/04/2024,Stable,Adequate,Standard
233,East Village 113,Enugu,Nigeria,48933,76,15.47,1,14,7,5,45.3,46,33,0,2,55,2024,High,Yes,14.8,High Risk,0.631015966,High,28/09/2024,Stable,Underserved,Standard
234,New District 68,Enugu,Nigeria,80157,258,25.93,1,17,9,4,57.3,46,15,43,4,55,2024,High,Yes,16.1,High Risk,0.690872686,High,3/1/2024,Stable,Underserved,Standard
235,East Estate 95,Bauchi,Nigeria,33023,240,13.08,1,16,9,5,54.4,51,10,15,3,40,2023,High,Yes,16.75,High Risk,0.720063189,Critical,1/4/2023,At Risk,Adequate,Standard
236,Old District 55,Enugu,Nigeria,40938,176,15.39,1,14,6,2,36.1,30,43,17,6,55,2023,High,Yes,11.4,Medium Risk,0.47243343,Low,2/11/2023,Stable,Underserved,Standard
237,East Area 29,Rivers,Nigeria,27031,158,8.23,2,11,5,4,62.7,44,31,53,2,65,2024,High,No,12.7,Medium Risk,0.503396089,Low,10/2/2024,Stable,Adequate,Standard
238,New Park 124,Plateau,Nigeria,30514,153,8.63,1,17,8,2,66.8,24,47,26,1,48,2023,High,Yes,12.05,Medium Risk,0.547750676,Medium,8/12/2023,Stable,Adequate,Structural Hotspot
239,Old Village 150,Enugu,Nigeria,45716,177,14.5,1,19,8,3,44.8,38,29,18,5,55,2024,High,Yes,15.1,High Risk,0.646277564,High,26/12/2024,Stable,Adequate,Standard
240,East Gate 119,Kaduna,Nigeria,31179,149,9.31,1,16,7,4,15.4,44,28,19,6,45,2024,High,Yes,14.95,High Risk,0.624937591,Medium,3/8/2024,Stable,Adequate,Standard
241,Old Quarter 152,Oyo,Nigeria,38647,126,11.6,2,14,4,1,33.8,22,37,15,7,60,2023,Medium,No,9.45,Medium Risk,0.374676253,Low,20/05/2023,Stable,Adequate,Standard
242,Old Quarter 171,Bauchi,Nigeria,25261,69,7.13,1,16,8,4,15.8,48,10,23,1,40,2024,High,Yes,15.8,High Risk,0.65819118,High,27/01/2024,Stable,Adequate,Standard
243,East Area 31,Bauchi,Nigeria,24723,321,9.95,1,20,10,6,32.9,41,47,12,4,40,2024,High,Yes,17.15,High Risk,0.808594238,Critical,25/12/2024,Stable,Adequate,Standard
244,East Gate 93,Bauchi,Nigeria,39539,229,11.98,1,18,6,4,44.6,43,16,0,4,40,2024,High,Yes,15.25,High Risk,0.630013522,High,5/3/2024,Stable,Adequate,Standard
245,West District 45,Akwa Ibom,Nigeria,84599,312,26.37,1,12,5,2,60,29,33,26,3,52,2023,High,Yes,10.3,Medium Risk,0.416639796,Low,18/12/2023,Stable,Underserved,Standard
246,West Village 21,Rivers,Nigeria,59412,145,16.46,1,15,5,3,62.8,27,51,15,2,65,2024,High,Yes,11.3,Medium Risk,0.488278812,Low,3/6/2024,Stable,Underserved,Standard
247,South Gate 131,Kaduna,Nigeria,67289,371,19.29,1,18,9,4,42.7,44,26,17,1,45,2024,High,Yes,16.15,High Risk,0.700826919,High,7/9/2024,Stable,Underserved,Standard
248,West Market 174,Imo,Nigeria,59060,251,20.16,1,16,6,4,15.8,38,36,33,3,50,2024,High,Yes,13.8,Medium Risk,0.586420845,Medium,28/04/2024,Stable,Underserved,Standard
249,West Area 93,Plateau,Nigeria,30435,241,10.37,1,16,8,5,20.9,53,10,37,2,48,2022,High,Yes,16.8,High Risk,0.702599074,High,27/12/2022,Stable,Adequate,Standard
250,North Gate 87,Enugu,Nigeria,28164,361,9.54,2,9,6,5,63.2,51,17,11,3,55,2022,Medium,No,13.55,Medium Risk,0.545359632,Medium,26/09/2022,Stable,Adequate,Standard
251,New District 193,Imo,Nigeria,13540,202,5.13,1,18,8,4,76.8,31,60,19,4,50,2023,High,Yes,13.95,Medium Risk,0.64388912,High,24/09/2023,Stable,Adequate,Structural Hotspot
252,Old Estate 178,Akwa Ibom,Nigeria,50197,183,19.09,1,14,7,3,53.6,41,19,0,1,52,2024,High,Yes,13.55,Medium Risk,0.555358072,Medium,18/03/2024,Stable,Underserved,Standard
253,East District 116,Kaduna,Nigeria,33296,359,11.44,1,21,9,5,45.5,53,10,0,7,45,2022,High,Yes,18.8,High Risk,0.801413304,Critical,19/04/2022,Stable,Adequate,Standard
254,New Quarter 176,FCT,Nigeria,167761,428,59.29,3,6,2,2,6,21,65,48,6,85,2024,Low,No,6.25,Low Risk,0.236100999,Low,16/06/2024,Stable,Adequate,Standard
255,West Quarter 100,Bauchi,Nigeria,21370,272,6.09,1,17,9,3,20.1,36,23,17,4,40,2024,High,Yes,14.35,High Risk,0.633306896,High,1/1/2024,Stable,Adequate,Standard
256,New Estate 186,Oyo,Nigeria,34624,208,11.93,2,10,6,2,24.5,33,27,11,7,60,2024,Medium,Yes,10.45,Medium Risk,0.419458602,Low,9/9/2024,Stable,Adequate,Standard
257,South Park 137,Rivers,Nigeria,25663,113,7.93,1,13,5,3,39.6,35,30,18,4,65,2023,High,Yes,11.8,Medium Risk,0.478896661,Low,24/06/2023,Stable,Adequate,Standard
258,North District 198,Oyo,Nigeria,37884,273,12.14,1,17,6,4,38.5,42,26,30,1,60,2024,High,Yes,14.75,High Risk,0.612164552,Medium,27/10/2024,Stable,Adequate,Standard
259,Central Village 5,Bauchi,Nigeria,54800,159,17.59,1,17,8,3,44.2,32,36,10,4,40,2024,High,Yes,13.5,Medium Risk,0.600053308,Medium,16/12/2024,Stable,Underserved,Standard
260,North Estate 133,Bauchi,Nigeria,41382,189,12.22,1,18,8,6,62.6,48,34,0,3,40,2023,High,Yes,17,High Risk,0.751125962,Critical,6/5/2023,At Risk,Adequate,Structural Hotspot
261,South Market 22,Enugu,Nigeria,26083,189,8.51,1,13,6,4,73.8,43,26,39,5,55,2023,High,Yes,13.5,Medium Risk,0.553926565,Medium,14/12/2023,Stable,Adequate,Standard
262,Old Gate 147,Kano,Nigeria,27874,116,8.28,2,12,5,2,75.2,37,20,9,3,50,2024,Medium,No,11.5,Medium Risk,0.437692428,Low,19/05/2024,Stable,Adequate,Standard
263,Old Area 66,Kano,Nigeria,26229,165,6.02,1,14,5,3,49.7,36,35,17,4,50,2022,High,Yes,12.3,Medium Risk,0.496745631,Low,27/05/2022,Stable,Adequate,Standard
264,Old Market 158,Enugu,Nigeria,31462,326,10.53,1,13,6,3,17.4,41,15,15,1,55,2023,High,Yes,12.95,Medium Risk,0.517413408,Medium,17/02/2023,Stable,Adequate,Standard
265,West Village 5,FCT,Nigeria,100569,553,25.95,2,8,1,2,17.5,23,54,53,5,85,2023,Medium,Yes,7,Low Risk,0.249071666,Low,18/05/2023,Stable,Adequate,Standard
266,North Park 89,Kano,Nigeria,21167,223,6.98,1,17,8,4,44.6,38,36,24,7,50,2022,High,Yes,14.65,High Risk,0.647092781,High,4/12/2022,Stable,Adequate,Standard
267,Old Village 29,Akwa Ibom,Nigeria,90781,108,26.95,1,16,7,4,32.8,34,47,15,6,52,2023,High,Yes,13.45,Medium Risk,0.598621802,Medium,6/5/2023,Stable,Underserved,Standard
268,South Market 120,Kaduna,Nigeria,40761,333,8.83,1,22,10,5,67.4,41,43,16,7,45,2024,High,Yes,17.6,High Risk,0.80777902,Critical,10/7/2024,Stable,Adequate,Structural Hotspot
269,Old Area 41,FCT,Nigeria,101752,617,31.97,2,7,2,0,22.2,18,45,31,4,85,2024,Medium,No,5.65,Low Risk,0.180923653,Low,20/08/2024,Stable,Adequate,Standard
270,South Estate 17,Enugu,Nigeria,75168,158,22.67,1,17,5,4,18.4,43,20,26,3,55,2024,High,Yes,14.65,High Risk,0.592068858,Medium,19/01/2024,Stable,Underserved,Standard
271,West Village 101,Akwa Ibom,Nigeria,54522,420,18.57,1,17,6,3,22.2,30,47,24,5,52,2024,High,Yes,12.7,Medium Risk,0.549335604,Medium,9/7/2024,Stable,Underserved,Standard
